road,frc,currentSpeed,freeFlowSpeed,currentTravelTime,freeFlowTravelTime,confidence,Delay,delay ratio,Traffic level,Day,Hour,minute,latitude,longitude
20.0,3.0,32,32,1022,1022,1.0,0,0.0,1,1,12,14,19.18,73.01
20.0,3.0,20,20,220,220,1.0,0,0.0,1,1,12,14,19.045,73.015
19.0,3.0,18,18,833,833,1.0,0,0.0,1,1,12,14,19.06,72.885
19.0,3.0,25,30,555,462,0.978079,93,0.2012987012987013,2,1,12,14,18.98,73.11
14.0,3.0,11,11,3,3,1.0,0,0.0,1,1,12,14,19.2183,72.9781
14.0,3.0,16,20,193,154,0.77,39,0.2532467532467532,2,1,12,14,20.011,73.79
11.0,2.0,30,30,2467,2467,1.0,0,0.0,1,1,12,14,19.41,73.18
11.0,3.0,61,61,1109,1109,1.0,0,0.0,1,1,12,14,19.43,73.48
17.0,0.0,52,52,718,718,1.0,0,0.0,1,1,12,14,19.32,73.1
17.0,4.0,26,26,2320,2320,1.0,0,0.0,1,1,12,14,19.3,73.13
10.0,0.0,18,29,2223,1379,0.949118,844,0.612037708484409,0,1,12,14,19.22,73.0
16.0,1.0,21,27,2942,2288,0.981472,654,0.28583916083916083,2,1,12,14,19.24,73.13
16.0,3.0,14,19,1241,914,0.911145,327,0.35776805251641136,2,1,12,14,19.22,73.1
12.0,3.0,25,34,1353,995,0.882248,358,0.3597989949748744,2,1,12,14,18.65,72.87
12.0,3.0,12,19,894,564,0.750078,330,0.5851063829787234,0,1,12,14,19.42,72.84
13.0,3.0,11,11,3,3,1.0,0,0.0,1,1,12,14,19.2183,72.9781
13.0,3.0,16,20,193,154,0.77,39,0.2532467532467532,2,1,12,14,20.011,73.79
8.0,0.0,31,40,1155,895,1.0,260,0.2905027932960894,2,1,12,14,19.25,73.05
8.0,3.0,16,22,274,199,1.0,75,0.3768844221105528,2,1,12,14,19.25,72.98
6.0,3.0,15,15,848,848,1.0,0,0.0,1,1,12,14,19.23,73.08
6.0,3.0,11,15,584,428,0.801918,156,0.3644859813084112,2,1,12,14,19.25,73.01
5.0,3.0,18,24,2108,1581,0.843223,527,0.3333333333333333,2,1,12,14,19.22,73.05
5.0,3.0,16,16,928,928,1.0,0,0.0,1,1,12,14,19.3,73.08
3.0,3.0,13,16,1037,843,0.800995,194,0.23013048635824437,2,1,12,14,19.22,73.07
3.0,3.0,24,24,1302,1302,1.0,0,0.0,1,1,12,14,19.24,73.1
1.0,0.0,31,40,1155,895,1.0,260,0.2905027932960894,2,1,12,14,19.25,73.05
1.0,3.0,11,15,584,428,0.801918,156,0.3644859813084112,2,1,12,14,19.25,73.01
0.0,3.0,32,32,489,489,1.0,0,0.0,1,1,12,14,19.18,72.98
0.0,2.0,20,26,295,227,1.0,68,0.29955947136563876,2,1,12,14,19.22,72.95
7.0,3.0,18,24,2108,1581,0.843223,527,0.3333333333333333,2,1,12,14,19.21,73.06
7.0,1.0,36,36,1986,1986,1.0,0,0.0,1,1,12,14,19.04,73.24
15.0,3.0,15,18,1863,1552,0.966452,311,0.20038659793814434,2,1,12,14,19.25,73.03
15.0,0.0,19,30,2203,1395,0.948709,808,0.5792114695340502,0,1,12,14,19.24,73.01
2.0,3.0,15,15,848,848,1.0,0,0.0,1,1,12,14,19.23,73.08
2.0,3.0,13,16,1037,843,0.800995,194,0.23013048635824437,2,1,12,14,19.22,73.07
18.0,0.0,32,40,1119,895,1.0,224,0.25027932960893856,2,1,12,25,19.25,73.05
18.0,3.0,23,23,190,190,1.0,0,0.0,1,1,12,25,19.25,72.98
4.0,3.0,6,11,6,3,1.0,3,1.0,0,1,12,25,19.2183,72.9781
4.0,3.0,19,19,148,148,1.0,0,0.0,1,1,12,25,19.076,72.8777
9.0,3.0,15,20,320,240,0.977443,80,0.3333333333333333,2,1,12,25,19.196,72.96
9.0,1.0,54,54,126,126,1.0,0,0.0,1,1,12,25,19.05,72.87
20.0,3.0,32,32,1022,1022,1.0,0,0.0,1,1,12,25,19.18,73.01
20.0,3.0,20,20,220,220,1.0,0,0.0,1,1,12,25,19.045,73.015
19.0,3.0,18,18,833,833,1.0,0,0.0,1,1,12,25,19.06,72.885
19.0,3.0,24,29,578,478,0.97595,100,0.20920502092050208,2,1,12,25,18.98,73.11
14.0,3.0,6,11,6,3,1.0,3,1.0,0,1,12,25,19.2183,72.9781
14.0,3.0,20,20,154,154,1.0,0,0.0,1,1,12,25,20.011,73.79
11.0,2.0,30,30,2467,2467,1.0,0,0.0,1,1,12,25,19.41,73.18
11.0,3.0,61,61,1109,1109,1.0,0,0.0,1,1,12,25,19.43,73.48
17.0,0.0,52,52,718,718,1.0,0,0.0,1,1,12,25,19.32,73.1
17.0,4.0,21,26,2873,2320,0.804055,553,0.23836206896551723,2,1,12,25,19.3,73.13
10.0,0.0,17,29,2353,1379,0.96221,974,0.706308919506889,0,1,12,25,19.22,73.0
16.0,1.0,22,27,2808,2288,0.984733,520,0.22727272727272727,2,1,12,25,19.24,73.13
16.0,3.0,13,19,1336,914,0.904132,422,0.4617067833698031,2,1,12,25,19.22,73.1
12.0,3.0,24,34,1409,995,0.884745,414,0.41608040201005025,2,1,12,25,18.65,72.87
12.0,3.0,10,19,1073,564,0.810907,509,0.9024822695035462,0,1,12,25,19.42,72.84
13.0,3.0,6,11,6,3,1.0,3,1.0,0,1,12,25,19.2183,72.9781
13.0,3.0,20,20,154,154,1.0,0,0.0,1,1,12,25,20.011,73.79
8.0,0.0,32,40,1119,895,1.0,224,0.25027932960893856,2,1,12,25,19.25,73.05
8.0,3.0,23,23,190,190,1.0,0,0.0,1,1,12,25,19.25,72.98
6.0,3.0,15,15,848,848,1.0,0,0.0,1,1,12,25,19.23,73.08
6.0,3.0,15,15,428,428,1.0,0,0.0,1,1,12,25,19.25,73.01
5.0,3.0,16,24,2372,1581,0.834018,791,0.5003162555344719,0,1,12,25,19.22,73.05
5.0,3.0,16,16,928,928,1.0,0,0.0,1,1,12,25,19.3,73.08
3.0,3.0,13,17,1037,793,0.750069,244,0.3076923076923077,2,1,12,25,19.22,73.07
3.0,3.0,24,24,1302,1302,1.0,0,0.0,1,1,12,25,19.24,73.1
1.0,0.0,32,40,1119,895,1.0,224,0.25027932960893856,2,1,12,25,19.25,73.05
1.0,3.0,15,15,428,428,1.0,0,0.0,1,1,12,25,19.25,73.01
0.0,3.0,32,32,489,489,1.0,0,0.0,1,1,12,25,19.18,72.98
0.0,2.0,21,26,281,227,1.0,54,0.23788546255506607,2,1,12,25,19.22,72.95
7.0,3.0,16,24,2372,1581,0.834018,791,0.5003162555344719,0,1,12,25,19.21,73.06
7.0,1.0,36,36,1986,1986,1.0,0,0.0,1,1,12,25,19.04,73.24
15.0,3.0,15,18,1863,1552,0.972212,311,0.20038659793814434,2,1,12,25,19.25,73.03
15.0,0.0,19,30,2203,1395,0.929698,808,0.5792114695340502,0,1,12,25,19.24,73.01
2.0,3.0,15,15,848,848,1.0,0,0.0,1,1,12,25,19.23,73.08
2.0,3.0,13,17,1037,793,0.750069,244,0.3076923076923077,2,1,12,25,19.22,73.07
18.0,0.0,31,41,1155,873,1.0,282,0.3230240549828179,2,1,12,41,19.25,73.05
18.0,3.0,17,22,258,199,1.0,59,0.2964824120603015,2,1,12,41,19.25,72.98
4.0,3.0,11,11,3,3,1.0,0,0.0,1,1,12,41,19.2183,72.9781
4.0,3.0,14,19,201,148,0.99,53,0.3581081081081081,2,1,12,41,19.076,72.8777
9.0,3.0,21,21,228,228,1.0,0,0.0,1,1,12,41,19.196,72.96
9.0,1.0,41,53,166,128,1.0,38,0.296875,2,1,12,41,19.05,72.87
20.0,3.0,32,32,1022,1022,1.0,0,0.0,1,1,12,41,19.18,73.01
20.0,3.0,20,20,220,220,1.0,0,0.0,1,1,12,41,19.045,73.015
19.0,3.0,16,18,938,833,0.969847,105,0.12605042016806722,1,1,12,41,19.06,72.885
19.0,3.0,24,30,578,462,0.973516,116,0.2510822510822511,2,1,12,41,18.98,73.11
14.0,3.0,11,11,3,3,1.0,0,0.0,1,1,12,41,19.2183,72.9781
14.0,3.0,12,20,257,154,0.92,103,0.6688311688311688,0,1,12,41,20.011,73.79
11.0,2.0,30,30,2467,2467,1.0,0,0.0,1,1,12,41,19.41,73.18
